id,unit,room,prop,tier,class,interactable,gate_verb,text_key,dims_m,dims_src,placement_uu,source_candidate,licence,canon,notes_open
3.1-01,3.1,ENTRY,"COAT PEGS: rail, 5 brass pegs, 5 coats (drift ground zero; the palette meter)",INTERACTABLE,hero · DYN,YES,T1 · inspect · DYN,"GT 58, 61",rail 2.2 x 0.08 x 0.08; peg 0.04 x 0.10; coat 0.34 x 0.80 x 0.10,REF,"(270, 700, 150) [Godot (2.7, 1.5, 7.0)]",Bespoke (Blender factory): rail + brass pegs; coats under M_Wool with a per-coat drift tint; Fab search 'coat rack wall wooden' for the rail only,Bespoke / Fab Standard,RB ENTRY; RI s2; WB 1090-1092; coat_pegs.gd 16-39; AB s4-5 DRIFT LAW,"The room's one I. Drift: pegs, mat angle [RB ENTRY]"
3.1-02,3.1,ENTRY,Sign-in / guest book podium with its open book,DRESSING,ambient host,NO,RI s2: T1 · sign (breaches the 1/0/8 cap),none,top 0.5 x 0.42; 1.2 tall,REF (lectern),,Reuse the station lectern build (prop_kit.gd lectern) with a different binder; Poly Haven search 'lectern' (verify id),Bespoke / CC0,RB ENTRY keynote; RI s2; RBR 3.1.4; OPEN 3.1-A,"RI 'Leland's entry two pages back, never checked out' and LL's 1976 line are ONE object: dress one podium, not two [RBR 3.1.5]"
3.1-03,3.1,ENTRY,"Podium's oldest pages: 1976 line, L. MERRICK signs IN, OUT column blank forever; every later line closed",LORE-AMBIENT,T3,NO,never prompts (QA-55),none,page 0.216 x 0.279,RW,"on the podium book, page turned back","M_Paper; hand-lettered albedo, legible at 1 m only",Bespoke,LL ENTRY [T3]; OT LORE,
3.1-04,3.1,ENTRY,"Door mat, worn through at one heel",DRESSING,ambient host,NO,,none,0.9 x 0.6 x 0.02,RW,"inside the YARD door (0, 940, 1) proposed",AmbientCG search 'Fabric' coir/jute (verify id) on a bevelled slab; hole and wear in the mask,CC0,RB ENTRY keynote; RBR 3.1.4,
3.1-05,3.1,ENTRY,"The mat's worn heel faces the building, not the door (people brace coming IN)",LORE-AMBIENT,HF,NO,never prompts,none,wear patch 0.15,RW,"the mat, heel toward -Y",wear in the mat's mask,Bespoke,LL ENTRY [HF],
3.1-06,3.1,ENTRY,Key hook board incl. a hook labelled TOWER,DRESSING,ambient host,NO,,none,0.3 x 0.2; 4 brass hooks,RW,"+X wall above peg height (298, 880, 150) proposed",Bespoke pine board + brass hooks; tags under M_Paper,Bespoke,LL ENTRY; RBR 3.1.4,
3.1-07,3.1,ENTRY,TOWER key whose cut is newer than its tag,LORE-AMBIENT,T4,NO,never prompts,none,key 0.06-0.08,RW,on the TOWER hook,"prop_kit.gd key_prop geometry (bow 0.12, shaft 0.18 - oversized vs RW) or Poly Haven search 'key' (verify id)",Bespoke / CC0,LL ENTRY [T4],Reference key_prop is ~0.3 m long; RW is 0.06-0.08 (OPEN 0-H scale of keys)
3.1-08,3.1,ENTRY,"Club charter, framed ('The 58 Club exists to preserve what loved us first')",DRESSING,,NO,RI s2: T1 · inspect,none,0.4 x 0.5,RW,"-X wall (-298, 800, 160) proposed",Poly Haven hanging_picture_frame_01 (verify id); glass plain or M_Practical,CC0,RI s2; RBR 3.1.4,
3.1-09,3.1,ENTRY,"Bulletin board: casserole rotation, screening notices; T5 gains the PREMIERE bill",DRESSING,DYN by tape,NO,RI s2: T1 · inspect · DYN,none,0.9 x 0.6,RW,"-X wall (-298, 620, 160) proposed",Fab search 'cork board' / 'notice board' (Megascans free tier if present); paper under M_Paper,Fab Standard,RI s2; RBR 3.1.4,
3.1-10,3.1,ENTRY,"Umbrella stand, one umbrella with a child-size handle (never explained)",DRESSING,,NO,RI s2: T1 · inspect,none,0.25 dia x 0.6; umbrellas 0.8,RW,"corner by the YARD door (-250, 960, 0) proposed",Fab search 'umbrella stand' or bespoke bevelled cylinder + 3 umbrellas,Fab Standard / Bespoke,RI s2; RBR 3.1.4,The child-size handle is RI-only; not in LL
