name,center_x,center_z,size_x,size_z
REC ROOM,0.0,0.0,10.0,8.0
KITCHEN,8.0,0.0,6.0,5.0
DORMS,-9.0,0.0,8.0,5.0
ENTRY,0.0,7.0,6.0,6.0
YARD,0.0,14.0,30.0,8.0
SHED,10.0,14.0,3.0,3.0
CORRIDOR,0.0,-7.5,3.0,7.0
TAPE LIBRARY,0.0,-16.0,12.0,10.0
BENCH ROOM,9.0,-16.0,6.0,6.0
CLIMATE,14.25,-16.0,4.5,6.0
TRANSMITTER HALL,16.75,-6.5,8.5,13.0
DEAD ROOM,19.0,2.5,4.0,5.0
FIRE CORRIDOR,-9.75,-16.0,7.5,3.0
STAGE HALL,-12.0,-20.75,3.0,6.5
STUDIO A,-15.5,-30.0,12.0,12.0
PATCH BAY,-5.5,-29.5,8.0,7.0
CONTROL,0.0,-24.5,3.0,7.0
MASTER CONTROL,5.5,-29.5,8.0,7.0
GREEN ROOM,-24.5,-27.0,6.0,6.0
SCENE DOCK,-15.5,-39.5,10.0,7.0
