row_name,room,room_code,state,state_scope,locked_ev,locked_ev_status,locked_ev_source,practical_id,fixture,family,on,position_uu,position_status,position_source,colour_linear,colour_status,colour_source,intensity,intensity_units,intensity_status,intensity_source,red_reads,red_source,transition,sequence,sequence_status,source,note
GLOBAL.*.RULE-EXPOSURE,*,*,*,GLOBAL,,OPEN,"NO EV, kelvin, candela or lux value exists anywhere in canon (grep of docs/canon, docs/production, docs/packet) [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; look-dev STAND-IN: auto_exposure_bias 11.5 (dark rig) / 12.5 (lit rig) under AEM_MANUAL [ue/pyscripts/stage_and_capture.py 59-66] — a look-dev rig value, not a room EV",RULE-EXPOSURE,"AUTO-EXPOSURE OFF; locked EV per room-state; transitions CUT with the schedule, never swim",RULE,RULE,,OPEN,,,OPEN,,,,OPEN,,RULE,,,,OPEN,restoration-lighting-bible.md §UE5 TECHNICALS,every locked_ev cell in this file is OPEN for the same reason
GLOBAL.*.RULE-GRAMMAR,*,*,*,GLOBAL,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,RULE-GRAMMAR,"RED = WATCHED = SAFE (tallys, ON AIR signs, his eye); PHOSPHOR GREEN = information, never room light; AMBER TUNGSTEN = the club's warmth; SODIUM = the truth light, one fixture; DARK IS A ROOM, NOT A WALL",RULE,RULE,,OPEN,,,OPEN,,,,OPEN,,RULE,,,,OPEN,restoration-lighting-bible.md §THE GRAMMAR,"the red family is never colour-only: the tally pairs glow with the REC line and countdown, ON AIR pairs lamp with signage text, his eye pairs hue with position and the mains hum [restoration-accessibility-matrix.md line 5]; no brightness slider exists or is offered [restoration-accessibility-matrix.md line 5 BRIGHTNESS]"
GLOBAL.*.RULE-ENGINE,*,*,*,GLOBAL,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,RULE-ENGINE,"Lumen GI on, software tier baseline; virtual shadow maps; volumetrics low and motivated (transmitter hall only); practicals authored in Blender with true bulb positions; M_Practical for fixture glass",RULE,RULE,,OPEN,,,OPEN,,,,OPEN,,RULE,,,,OPEN,restoration-lighting-bible.md §UE5 TECHNICALS; docs/canon/restoration-blender-ue5-pipeline.md (material masters),
GLOBAL.*.RULE-COLOUR-SCRIPT,*,*,*,GLOBAL,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,RULE-COLOUR-SCRIPT,"per-day post volumes over UNCHANGED practicals: Day 1 warmest, desaturating and cooling on a curve to Day 5",RULE,RULE,,OPEN,,,OPEN,,,,OPEN,no curve values in canon,RULE,,,,OPEN,restoration-lighting-bible.md §UE5 TECHNICALS COLOR SCRIPT BY DAY,five volumes (Day 1..5); every value OPEN
GLOBAL.*.RULE-HIM,*,*,*,GLOBAL,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,RULE-HIM,"his eye is the only MOBILE red source (reserve the hue); HIS SHADOW IS A MECHANIC: at 3.35 m under Lumen his shadow precedes him through doorways; he casts, UI glow does not",RULE,RULE,,OPEN,,,OPEN,,3.35,m (body height),STAND-IN,Data/Timings.csv rundown.gd AF_HEIGHT 3.35; PROGRESS.md §PHASE 1 OWNER RULINGS (1),RULE,,,,OPEN,"restoration-lighting-bible.md §HIM; THE-LAWS.md 10, 11",every doorway costs him 2.2 s (the fold) [THE-LAWS.md 11]
GLOBAL.DAY_ON_AIR.RULE-CLOCK,*,*,DAY_ON_AIR,GLOBAL,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,RULE-CLOCK,ON AIR 50.0 s / BREAK 18.0 s; the schedule is real (LAW 6),RULE,RULE,,OPEN,,,OPEN,,50.0 / 18.0,s,STAND-IN,"Data/Timings.csv broadcast.gd ON_AIR_SECONDS, BREAK_SECONDS (reference constants; canon per PORT-BRIEF)",RULE,,"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,THE-LAWS.md 6; restoration-lighting-bible.md §STATES,lighting transitions CUT on these flips
GLOBAL.NIGHT.RULE-NIGHT,*,*,NIGHT,GLOBAL,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,RULE-NIGHT,"practicals OFF (bible) — the reference instead BROWNS OUT: practicals 0.5 -> 0.28, ambient 0.09 -> 0.03, sun 0.07 -> 0.005",RULE,RULE,,OPEN,,,OPEN,,0.28 / 0.5,Godot light_energy (night / day),STAND-IN,"scripts/world_builder.gd 700-709 _on_night_lighting; scenes/main.tscn 16, 41",RULE,,CUT on the night flip (GameState.night_changed),,OPEN,restoration-lighting-bible.md §STATES NIGHT,OPEN 0-E [ROOM-BRIEFS-3.1-3.5.md §0.2]: the bible (OFF) contradicts world_builder.gd (x0.56 brown-out); the bible is the named canon [AAA_BUILD_PLAN.md §1 Lighting law] — ruling requested in the PR body
GLOBAL.CASCADE_1_C.RULE-CASCADE,*,*,CASCADE_1_C,GLOBAL,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,RULE-CASCADE,"authored two-stage darkness with real circuit GEOGRAPHY: C's zone dies, then B's; restoring in order relights in order; the panel's labels are the map; circuit F cannot be de-energized",RULE,RULE,,OPEN,,,OPEN,,0 / +20.0,s (stage 1 at cascade start; stage 2 after 4.0 + 16.0),STAND-IN,"scripts/cascade.gd 22-31 (reference waits); reference screen blackout 0.55 then 0.75, restore B -> 0.55, restore C -> 0.0 [cascade.gd 22, 30; patchbay_console.gd 54, 59]",RULE,,CUT at cascade start; relights in panel order (B before C),,OPEN,"restoration-lighting-bible.md §STATES CASCADE; scripts/cascade.gd; scripts/patchbay_console.gd; restoration-invariant-suite.md I04, I07","zone membership per room is NOT in canon: 'the stage end of the building' (C) and 'administrative' (B) are the only hints; the reference kills monitor rigs 2..5 (none stamped) and dims the screen globally — no circuit geography exists in code either (OPEN C18-C: the owner assigns rooms to circuits B, C, F and the kitchen sub-panel)"
GLOBAL.CROSSING.RULE-CROSSING,*,*,CROSSING,GLOBAL,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,RULE-CROSSING,his eye DARK the whole way; the sign-off's glow leaking under doors along the broadcast path: master control -> the little door,RULE,RULE,,OPEN,,,OPEN,,75,s,STAND-IN,restoration-after-fire-chum.md §THE LAST CROSSING 'seventy-five seconds' (canon prose); QA-42 'the crossing runs 62' with Vess dead,RULE,,none stated (runs inside the final break),,OPEN,restoration-lighting-bible.md §STATES THE CROSSING; restoration-after-fire-chum.md §THE LAST CROSSING; Data/Doors.csv,path rooms by the door table: MASTER CONTROL -> CONTROL -> PATCH BAY -> STUDIO A (little door)
GLOBAL.SIGNOFF_4C.RULE-4C,*,*,SIGNOFF_4C,GLOBAL,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,RULE-4C,"all lights to black in reverse order of the tour Rita walked on Day 1, entry last, then the tower light, then nothing, as rest; Harriet resumes and finishes her tea when the station goes dark",RULE,RULE,,OPEN,,,OPEN,,,,OPEN,,RULE,,"CUT per room, in sequence",7 steps,CANON-ORDER,restoration-lighting-bible.md §STATES 4c; restoration-casualty-ledger.md L2 ENDINGS; scripts/hud.gd 481-484; restoration-walkthrough-levels-endings.md line 20,"restoration-player-routing.md Day 1 spine (ENT->REC->KIT->DRM->LIB->BEN) reversed per restoration-lighting-bible.md §STATES 4c 'entry last, then the tower light'; NOTE ROOM-BRIEFS-3.1-3.5.md 3.2.3/3.3.3 read the order forward (REC second, KIT third) while 3.8.3/3.9.3 read it reversed — contradiction to rule (OPEN C18-A)"
