file,constant,value
broadcast.gd,ON_AIR_SECONDS,50.0
broadcast.gd,BREAK_SECONDS,18.0
capture_bench.gd,CAPTURE_SECONDS,12.0
capture_bench.gd,TETHER,4.0
credits.gd,SPEED,42.0
frame_sequence.gd,W,320
frame_sequence.gd,H,240
game_state.gd,SAVE_VERSION,16
merle.gd,SPEED,1.6
player.gd,SPEED,3.1
player.gd,ACCEL,10.0
player.gd,MOUSE_SENS,0.0022
player.gd,REACH,2.6
player.gd,CROUCH_MULT,0.55
rundown.gd,MOVE_SPEED,2.4
rundown.gd,AF_APPROACH_SPEED,0.8
rundown.gd,AF_LOOM_DIST,1.2
rundown.gd,AF_COOL_SECONDS,2.0
rundown.gd,AF_HEIGHT,3.35
rundown.gd,AF_FOLD_SECONDS,2.2
rundown.gd,AF_DOOR_NEAR,1.0
rundown.gd,AF_CROSSING_SPEED,1.6
rundown.gd,WARN_RADIUS,7.0
rundown.gd,STRIKE_RADIUS,2.2
rundown.gd,BASE_HEIGHT,2.6
rundown.gd,HEAD_TILT,0.045
screening_event.gd,BEAT,0.8
screening_event.gd,WINDOW,3.2
seance_dock.gd,MAX_FRAME,40
tone_emitter.gd,RATE,22050.0
world_builder.gd,WALL_H,3.0
world_builder.gd,WALL_T,0.24
