name,room,x,z,kind,script
REC ROOM / ENTRY,REC ROOM|ENTRY,-0.8,4.0,CompoundDoor,scripts/door.gd
ENTRY / YARD,ENTRY|YARD,-0.8,10.0,CompoundDoor,scripts/door.gd
YARD / SHED,YARD|SHED,8.5,13.4,CompoundDoor,scripts/door.gd
TRANSMITTER HALL / DEAD ROOM,TRANSMITTER HALL|DEAD ROOM,18.4,0.0,CompoundDoor,scripts/door.gd
TAPE LIBRARY / FIRE CORRIDOR,TAPE LIBRARY|FIRE CORRIDOR,-6.0,-16.7,CompoundDoor,scripts/door.gd
STAGE HALL / STUDIO A,STAGE HALL|STUDIO A,-12.8,-24.0,CompoundDoor,scripts/door.gd
STUDIO A / SCENE DOCK,STUDIO A|SCENE DOCK,-16.3,-36.0,CompoundDoor,scripts/door.gd
S5 LOG · REC ROOM,REC ROOM,-4.2,3.2,LogStation,scripts/log_station.gd
S1 LOG · LIBRARY LANDING,TAPE LIBRARY,-1.2,-11.8,LogStation,scripts/log_station.gd
S2 LOG · MASTER CONTROL,MASTER CONTROL,7.0,-31.0,LogStation,scripts/log_station.gd
S3 LOG · GREEN ROOM,GREEN ROOM,-24.5,-28.6,LogStation,scripts/log_station.gd
S4 LOG · TRANSMITTER THRESHOLD,TRANSMITTER HALL,14.5,-11.4,LogStation,scripts/log_station.gd
CAM 1 · CORRIDOR,REC ROOM,2.4,-3.82,MonitorRig,scripts/monitor_rig.gd
CAM 2 · STACKS,BENCH ROOM,7.2,-13.18,MonitorRig,scripts/monitor_rig.gd
THE BENCH,BENCH ROOM,9.0,-17.6,CaptureBench,scripts/capture_bench.gd
BenchTV,BENCH ROOM,9.0,-18.82,BenchTV,scripts/bench_tv.gd
GenKnob,BENCH ROOM,10.2,-18.5,GenKnob,scripts/gen_knob.gd
1977 DOCK,BENCH ROOM,7.8,-18.4,FireTapeDock,scripts/fire_tape_dock.gd
SEANCE REEL,BENCH ROOM,7.8,-17.2,SeanceDock,scripts/seance_dock.gd
REEL · 1977,TRANSMITTER HALL,17.0,-10.0,FireTapePickup,scripts/fire_tape_pickup.gd
WOOL SPIKE 001,BENCH ROOM,10.8,-14.3,Node3D,scripts/world_builder.gd
PropKit.tape_shelf,TAPE LIBRARY,-3.2,-13.2,PropKit.tape_shelf,scripts/prop_kit.gd
PropKit.tape_shelf,TAPE LIBRARY,3.2,-13.2,PropKit.tape_shelf,scripts/prop_kit.gd
PropKit.tape_shelf,TAPE LIBRARY,-3.2,-18.8,PropKit.tape_shelf,scripts/prop_kit.gd
PropKit.tape_shelf,TAPE LIBRARY,3.2,-18.8,PropKit.tape_shelf,scripts/prop_kit.gd
PropKit.transmitter_cabinet,TRANSMITTER HALL,20.4,-2.0,PropKit.transmitter_cabinet,scripts/prop_kit.gd
PropKit.transmitter_cabinet,TRANSMITTER HALL,20.4,-4.5,PropKit.transmitter_cabinet,scripts/prop_kit.gd
PropKit.transmitter_cabinet,TRANSMITTER HALL,20.4,-7.0,PropKit.transmitter_cabinet,scripts/prop_kit.gd
PropKit.transmitter_cabinet,TRANSMITTER HALL,20.4,-9.5,PropKit.transmitter_cabinet,scripts/prop_kit.gd
PropKit.tower,YARD,-9.0,14.5,PropKit.tower,scripts/prop_kit.gd
PropKit.felt_run,DEAD ROOM,19.0,4.8,PropKit.felt_run,scripts/prop_kit.gd
PropKit.felt_run,DEAD ROOM,17.2,2.5,PropKit.felt_run,scripts/prop_kit.gd
PropKit.felt_run,DEAD ROOM,20.8,2.5,PropKit.felt_run,scripts/prop_kit.gd
PropKit.kitchen_block,KITCHEN,8.0,-2.15,PropKit.kitchen_block,scripts/prop_kit.gd
PropKit.kettle,KITCHEN,9.4,-2.1,PropKit.kettle,scripts/prop_kit.gd
PropKit.vanity,GREEN ROOM,-27.1,-27.0,PropKit.vanity,scripts/prop_kit.gd
PropKit.couch,GREEN ROOM,-25.0,-29.4,PropKit.couch,scripts/prop_kit.gd
PropKit.scene_flat,SCENE DOCK,-20.1,-38.2,PropKit.scene_flat,scripts/prop_kit.gd
PropKit.scene_flat,SCENE DOCK,-19.96,-39.6,PropKit.scene_flat,scripts/prop_kit.gd
