Key,SourceString
FIRST SIGNATURE,FIRST SIGNATURE
CAREFUL HANDS,CAREFUL HANDS
THE SCOPE READS MASTER,THE SCOPE READS MASTER
ON THE BEAT,ON THE BEAT
"STILLNESS, HELD WHOLE","STILLNESS, HELD WHOLE"
HOLD YOUR APPLAUSE,HOLD YOUR APPLAUSE
YOU WERE NOT QUIET,YOU WERE NOT QUIET
TOMORROW'S DATE,TOMORROW'S DATE
THE ROWS KEEP THEIR ORDER,THE ROWS KEEP THEIR ORDER
PER V. KEYS,PER V. KEYS
NO SEARCHER SINGS,NO SEARCHER SINGS
THE UNFINISHED LINE,THE UNFINISHED LINE
I'VE READ THE ENDING,I'VE READ THE ENDING
ORDER MATTERS,ORDER MATTERS
THE LONG WAY AROUND,THE LONG WAY AROUND
NEXT WEEK'S EPISODE,NEXT WEEK'S EPISODE
EMPTY DRAWER,EMPTY DRAWER
SEALED FOR BROADCAST,SEALED FOR BROADCAST
THERE'S COBBLER,THERE'S COBBLER
WELCOME HOME,WELCOME HOME
FILE UNDER: SAINTS,FILE UNDER: SAINTS
IT'S OKAY. NOBODY'S WATCHING.,IT'S OKAY. NOBODY'S WATCHING.
SIGNED OFF,SIGNED OFF
FULL ACCESSION,FULL ACCESSION
EVERYONE GOES HOME,EVERYONE GOES HOME
A ONE-WOMAN SHOW,A ONE-WOMAN SHOW
THE BURN,THE BURN
THE NEW PRODUCER,THE NEW PRODUCER
SIGN-OFF · RITA CLOSES,SIGN-OFF · RITA CLOSES
SIGN-OFF · LELAND CLOSES,SIGN-OFF · LELAND CLOSES
DEAD AIR,DEAD AIR
QUIET ROOM,QUIET ROOM
FILED · ,FILED · 
"FILED · %d entries, %s among them.","FILED · %d entries, %s among them."
an asset,an asset
%s · take (E),%s · take (E)
RITA'S BED · sleep until morning (E),RITA'S BED · sleep until morning (E)
RITA'S BED · end the day (E),RITA'S BED · end the day (E)
The club insists you sleep at home until the contract is signed.,The club insists you sleep at home until the contract is signed.
The show is over here. NEW GAME threads a fresh reel.,The show is over here. NEW GAME threads a fresh reel.
PLACES. The premiere begins.,PLACES. The premiere begins.
SLATE: 3RD GENERATION DUB · SCOPE READS: MASTER,SLATE: 3RD GENERATION DUB · SCOPE READS: MASTER
ON TAPE · it walked to the lens. It held. One frame.,ON TAPE · it walked to the lens. It held. One frame.
● ON AIR · break in 0:%02d,● ON AIR · break in 0:%02d
○ BREAK · window closes 0:%02d,○ BREAK · window closes 0:%02d
TAPE ROLLING · stay with it,TAPE ROLLING · stay with it
"THE BENCH · begin capture, Tape %d (E) · runs real time","THE BENCH · begin capture, Tape %d (E) · runs real time"
CAPTURE · TAPE %d · 00:%05.2f,CAPTURE · TAPE %d · 00:%05.2f
CAPTURE ABORTED · the take is lost. The bench keeps no half-truths.,CAPTURE ABORTED · the take is lost. The bench keeps no half-truths.
TAPE %d · A CLEAN SIGNAL,TAPE %d · A CLEAN SIGNAL
PANEL EVENT · circuit C lets go. The stage end of the building drops dark.,PANEL EVENT · circuit C lets go. The stage end of the building drops dark.
"The dark spreads room to room, patient, like it is reading the labels.","The dark spreads room to room, patient, like it is reading the labels."
Circuit B follows. The dark is administrative now. The panel is in the patch bay.,Circuit B follows. The dark is administrative now. The panel is in the patch bay.
The panel holds. Circuit F never so much as flickered. It cannot be de-energized. You have read that somewhere.,The panel holds. Circuit F never so much as flickered. It cannot be de-energized. You have read that somewhere.
THE CASTING SHEET · read (E),THE CASTING SHEET · read (E)
FINAL EPISODE · CAST: ALDER · BELL · PRICE · MERRICK · %d of 4 guest lines filled. The club dusts it.,FINAL EPISODE · CAST: ALDER · BELL · PRICE · MERRICK · %d of 4 guest lines filled. The club dusts it.
COAT PEGS · the club's palette (E),COAT PEGS · the club's palette (E)
"Cardigans in sensible grays. One mustard scarf, early to the party.","Cardigans in sensible grays. One mustard scarf, early to the party."
"The palette is drifting. Nobody has said anything about it, which is itself the thing.","The palette is drifting. Nobody has said anything about it, which is itself the thing."
"Show palette, head to toe, every peg. Somebody ironed.","Show palette, head to toe, every peg. Somebody ironed."
SESSION OPEN · restored counters m=%.1f mv=%.1f st=%.1f,SESSION OPEN · restored counters m=%.1f mv=%.1f st=%.1f
[day %d %s] %s,[day %d %s] %s
READ RESET · dailies burned,READ RESET · dailies burned
LEDGER MARGIN · credit the insight (E) · 'per V. Keys',LEDGER MARGIN · credit the insight (E) · 'per V. Keys'
"You write his name where findings live. Somewhere, a label maker clicks twice.","You write his name where findings live. Somewhere, a label maker clicks twice."
an accession of the 58 CLUB,an accession of the 58 CLUB
"written, designed, and built by\nCIEL ESSEL","written, designed, and built by\nCIEL ESSEL"
with THE GLADHOUSE (1971 to 1977)\nappearing courtesy of the estate of A. CRAIK,with THE GLADHOUSE (1971 to 1977)\nappearing courtesy of the estate of A. CRAIK
"MERLE ······ herself\nVESS ······ himself\nHARRIET ······ mid-motion\nTHE FLOOR MANAGER ······ uncredited, by request","MERLE ······ herself\nVESS ······ himself\nHARRIET ······ mid-motion\nTHE FLOOR MANAGER ······ uncredited, by request"
and CHUM\nas himself,and CHUM\nas himself
"made with GODOT\ncaptured to tape at WGLD, channel 58","made with GODOT\ncaptured to tape at WGLD, channel 58"
for everyone who was carried,for everyone who was carried
WGLD signs off.,WGLD signs off.
MERLE ······ RITA IVORI\nVESS ······ RITA IVORI\nHARRIET ······ RITA IVORI\nTHE FLOOR MANAGER ······ RITA IVORI,MERLE ······ RITA IVORI\nVESS ······ RITA IVORI\nHARRIET ······ RITA IVORI\nTHE FLOOR MANAGER ······ RITA IVORI
and CHUM\nas RITA IVORI,and CHUM\nas RITA IVORI
ENDING REACHED\n,ENDING REACHED\n
the tower light stays on,the tower light stays on
